Estabelecimento,Complemento,Descricao,Endereço,Horario,Prato,Telefone
Bar do Kim,,"Músculo bovino acompanhado de champignon, acompanhado de torradas.","Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte – MG","Segunda, das 18h à 0h | Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 12h às 23h | Domingo, das 12h às 23h |",Músculo à moda Kim!,31987768550
Bar do Nelson,,Bolinho de feijoada na cama de couve crispy.,"Avenida Vicente Risola, 1000 | Santa Inês, Belo Horizonte – MG","Terça, das 15h à 0h | Quarta, das 15h à 0h | Quinta, das 15h à 0h | Sexta, das 15h à 0h | Sábado, das 11h à 0h | Domingo, das 11h às 20h |",Bolinho de prata,31996726908
Bar do Primo,,Costelinha com batata e queijo ao molho branco.,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte – MG","Segunda, das 18h à 0h | Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 18h à 0h | Domingo, das 18h à 0h |",Custelinha di Buteco,31995323260
Bar do Regis,,"Almôndegas ao molho de tomates, servidas com polenta.","Rua Gávea, 422 | Jardim América, Belo Horizonte – MG","Segunda, das 11h às 15h | Terça, das 11h às 15h e das 17h às 23h | Quarta, das 11h às 23h30 | Quinta, das 11h às 23h30 | Sexta, das 11h às 23h30 | Sábado, das 11h às 23h30 | Domingo, das 11h às 15h30 |",Trilhas de Minas,(31) 971158894(31) 3653-8071
Bar do Romeu,,"Rabada com pé de porco acompanhada de farofa de abacaxi, geleia de pimenta e torradinha.","Rua Aniri, 8 | Guarani, Belo Horizonte – MG","Segunda, das 17h30 à 0h | Terça, das 17h30 à 0h | Quarta, das 17h30 à 0h | Quinta, das 17h30 à 0h | Sexta, das 17h30 à 0h | Sábado, das 12h à 0h | Domingo, das 12h à 0h |",Pé no Rabo,(31) 996549384(31) 98640-2562
Bar dos Meninos,A,"Costelinha suína, marinada em vinho tinto, servida com mostarda em folhas, acompanhada de creme de batata.","Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte – MG","Terça, das 17h30 à 0h | Quarta, das 17h30 à 0h | Quinta, das 17h30 à 0h | Sexta, das 17h30 à 0h | Sábado, das 17h30 à 0h |",Bodas de prata,31983803201
Bar Du Du,,"Picadinho de carne de porco ao molho, acompanhado de um creme de batata.","Rua Violeta, 369 | Esplanada, Belo Horizonte – MG","Terça, das 11h às 14h e das 17h30 às 23h | Quarta, das 11h às 14h e das 17h30 às 23h | Quinta, das 11h às 14h e das 17h30 às 23h | Sexta, das 11h às 14h e das 17h30 às 23h | Sábado, das 11h às 22h |",Porco sem vergonha,(31) 3646-1551(31) 98717-0450
Bar e Restaurante Bom Sabor,Loja A,"Fraldinha de boi recheada com carne moída de porco, bacon e muçarela, assado na churrasqueira. Acompanhado de farofa e vinagrete.","Rua Java, 386 | Nova Suíça, Belo Horizonte – MG","Segunda, das 11h à 0h | Terça, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h |",Bora Comemorar,3133348205
Bar e Restaurante do Joãozinho,Loja 2 e 3,"Quarteto: carne de lata bovina frita, torresmo pururuca, queijo temperado à moda da casa, molho de alho-poró.","Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte – MG","Segunda, das 18h às 23h | Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h | Sábado, das 18h às 23h | Domingo, das 12h às 18h |",Trio Mineiro,31986444529
Bar Estabelecimento,,"Pelotas de rabada com angu de agrião em molho de tomate com cebola e tipracas (tipo bolachas feitas com arroz, feijão roxinho, queijo e especiarias.)","Rua Monte Alegre, 160 | Serra, Belo Horizonte – MG","Terça, das 17h30 à 0h | Quarta, das 17h30 à 0h | Quinta, das 17h30 à 0h | Sexta, das 11h30 às 15h | Sexta, das 17h30 à 0h | Sábado, das 11h30 à 0h | Domingo, das 12h às 18h |",Tipracas,31983921059
Bar Junto Juntinho,,"Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve crispy e geleia de abacaxi apimentada.","Rua Cura D’Ars, 542 | Prado, Belo Horizonte – MG","Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 18h à 0h |",Poliamor Culinário,31988068530
Bar Mania Mineira,,Bolinho de mandioca recheado com queijo.,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte – MG","Quarta, das 17h às 22h | Quinta, das 17h às 22h | Sexta, das 17h às 22h | Sábado, das 12h às 18h |",Explosão de Sabor,31985126504
Bar Pompéu,Antigo 1243,"Iscas de filé de frango empanadas nos flocos de arroz, regado ao molho de alho-poró e cream cheese. Acompanha batata frita canoa e molho agridoce de goiabada.","Rua São Miguel, 779 | Itapoã, Belo Horizonte – MG","Segunda, das 12h à 0h | Terça, das 12h à 0h | Quarta, das 12h à 0h | Quinta, das 12h à 0h | Sexta, das 12h à 1h | Sábado, das 12h à 1h | Domingo, das 12h à 0h |",É mas num é,3136653506
Bar Stella,,"Maçã de peito ao molho de vinho, acompanhada de farofa d’água e mandioca na manteiga de garrafa.","Avenida Saramenha, 1599 | Guarani, Belo Horizonte – MG","Segunda, das 12h à 0h | Terça, das 12h à 0h | Quarta, das 12h à 0h | Quinta, das 12h à 0h | Sexta, das 12h à 0h | Sábado, das 12h à 0h | Domingo, das 12h à 0h |",Boi bebum,3134333755
Bar Temático Sta. Teresa,Atrás do Mercado Distrital Sta. Tereza,"Carne de sol, feijão-de-corda, farofa e vinagrete e manteiga de garrafa.","Rua Pirite, 187 | Santa Teresa, Belo Horizonte – MG","Terça, das 17h às 23h30 | Quarta, das 17h às 23h30 | Quinta, das 17h às 23h30 | Sexta, das 17h às 22h30 | Sábado, das 11h às 22h30 | Domingo, das 11h às 17h30 |",#CDB – 25 anos de sucesso – Arrumado,3134814646
Barrigudinha Buteco,,Costelinha de porco ao molho rubi.,"Avenida dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte – MG","Terça, das 16h30 às 23h30 | Quarta, das 16h30 às 23h30 | Quinta, das 16h30 às 23h30 | Sexta, das 16h30 às 23h30 | Sábado, das 11h30 às 23h30 | Domingo, das 11h30 às 21h |",Bodas no prato: Rib ao molho Rubi,(31) 3443-1156(31) 99839-8899
Barzim dos amigos,,Almôndegas ao sugo com batata recheada.,"Rua Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte – MG","Segunda, das 16h à 0h | Terça, das 16h à 0h | Quarta, das 16h à 0h | Quinta, das 16h à 0h | Sexta, das 16h à 0h | Sábado, das 14h à 0h | Domingo, das 12h às 23h |",Porpeta de Buteco,31998561240
Bazin Bar,Loja 3 e 4,Carne de panela acompanhada de angu e ora-pro-nóbis.,"Rua Orozimbo Nonato, 1053 | Dona Clara, Belo Horizonte – MG","Terça, das 17h30 às 23h | Quarta, das 17h30 às 23h | Quinta, das 17h30 às 23h | Sexta, das 17h30 às 23h | Sábado, das 13h às 23h | Domingo, das 13h às 20h |",Bodas de Prata,31972171020
Beco Restaurante,,"Carne bovina cozida na panela de pressão e reduzida no molho à base demi glace. Acompanha nosso creme de mandioca caseira, farofa crocante de panko e crispy de couve.","Rua Tamoios, 232 | Centro, Belo Horizonte – MG","Segunda, das 11h às 22h20 | Terça, das 11h às 22h20 | Quarta, das 11h às 22h20 | Quinta, das 11h às 22h20 | Sexta, das 11h às 22h20 | Sábado, das 11h às 22h20 |",Lá di Casa,3132721489
Benjamin Bar,Praça Geraldo Torres,"Costela bovina regada no molho roti, acompanhada de quirera de milho com queijo canastra meia cura e milho verde cozido.","Rua Coronel José Benjamim, 770 | Padre Eustáquio, Belo Horizonte – MG",Segunda de 11h às 15h | Terça à sexta de 11h às 15h e 17h às 23:30 | Sábado de 12h às 23:30 | Domingo de 11h às 17h,Boizinho no milharal,31 971182111
Boteco 86,,Bolinho de aipim com carne seca e requeijão.,"Rua Jacarina, 86 | Padre Eustáquio, Belo Horizonte – MG","Quarta, das 16h à 0h | Quinta, das 16h à 0h | Sexta, das 16h à 0h | Sábado, das 12h às 23h | Domingo, das 11h às 18h |",Bolinho Nordestino,31996479898
Botequim Buritis,,"Lombinho suíno na lata, acompanhado de mandioquinha frita ao molho cremoso raiz.","Rua Vitório Magnavaca, 39 | Buritis, Belo Horizonte – MG","Segunda, das 11h à 0h | Terça, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h | Domingo, das 11h às 23h |",Butequeiro 25,3131664333
Botequim de Lourdes,,"Torresmo de barriga marinado na cachaça, servido com palitinhos de tapioca e geleia de abacaxi com pimenta e canela.","Rua Curitiba, 2039 | Lourdes, Belo Horizonte – MG","Terça, das 17h às 23h / Quarta, das 17h às 23h / Quinta, das 17h às 23h / Sexta, das 12h às 23h / Sábado, das 12h às 23h / Domingo, das 12h às 23h",Rocambole de Torresmo que só no Botequim tem,3136540414
Buteco do Lili,,"Fraldinha de panela ao molho roti, acompanhada de batata ao murro e pães de queijo fritos.","Rua Líbero Badaró, 493 | Dona Clara, Belo Horizonte – MG","Segunda, das 12h às 23h | Terça, das 12h às 23h | Quarta, das 12h às 23h | Quinta, das 12h às 23h | Sexta, das 12h às 23h | Sábado, das 12h às 22h | Domingo, das 12h às 22h |",Sabores de Prata,313582-5246
Buteco do Rod,,"Cambito suíno ao molho de cerveja preta, acima de uma polenta temperada com páprica defumada e espinafre, acompanhado de farofa panko com bacon, finalizado com queijo gouda derretidinho.","Rua José Moura Peçanha, 12 | Ouro Preto, Belo Horizonte – MG","Segunda, das 18h à 0h | Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 17h à 1h | Domingo, das 12h à 0h |",Canela di Butequêro,31992059222
Buteco Tô D’Boa,,"Paleta suína marinada com molho especial e cerveja preta, acompanhada de farofa de bacon crocante, banana-da-terra caramelizada e finalizada com cheiro-verde.","Avenida Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte – MG","Segunda, das 16h às 23h | Quarta, das 16h às 23h | Quinta, das 16h às 23h | Sexta, das 16h às 23h | Sábado, das 11h às 23h |",Paleta Suína Mineira,31991871649
Buteco’s Bar,Lj 02,"Porpeta de costelinha com bacon assada, recheada com queijo minas, regada ao molho roti, em cama de canjiquinha, acompanhada de quiabo e molho pesto de couve e coentro.","Rua Ernesto Braga, 2 | Jardim Atlântico, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h à 0h | Sábado, das 14h à 0h | Domingo, das 12h às 21h |",Nuuuu…quebrou minha costelinha!,3192586505
Butiquim On Cê Tá?,,"Almôndega ao molho de tomate, recheada com queijo. Acompanha rodelas de pão francês.","Avenida Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 20h |",Almôndega da Mamma Tereza,(31) 99183-4727(31) 3443-2207
Café Bahia,,"Defumados de porco e carne de sol no feijão-vermelho, pelinha crocante, polentinha mineira e mostarda refogada.","Rua Tupis, 369 | Centro, Belo Horizonte – MG","Segunda, das 12h às 22h | Terça, das 12h às 22h | Quarta, das 12h às 22h | Quinta, das 12h às 22h | Sexta, das 12h às 22h | Sábado, das 12h às 22h |",Trupiquei no Bahia,31983022514
Café Palhares,,"Polpetas de berinjela com queijo parmesão, muçarela, manjericão e salsinha. Servidas com pasta de grão-de-bico.","Rua dos Tupinambás, 638 | Centro, Belo Horizonte – MG","Segunda, das 10h às 16h | Terça, das 10h às 16h | Quarta, das 10h às 16h | Quinta, das 10h às 16h | Sexta, das 10h às 18h | Sábado, das 10h às 15h |",Polpeta de Berinjela com Dois Queijos,3132011841
Camisola Bar,,"Costela de boi cozida na cerveja preta, acompanhada com um purê de mandioca com queijo.","Rua Luther King, 242 | Cidade Nova, Belo Horizonte – MG","Terça, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 12h à 0h | Domingo, das 12h às 17h |",Costela Mineira,31999486915
Canela Amarela,Loja 20,"Almôndegas bovinas sobre a cama de creme de queijos, acompanhadas de torradas de pão de alho e finalizada com tomatinho e manjericão. Acompanha molho da casa.","Praça Leonardo Gutierrez, 195 | Gutierrez, Belo Horizonte – MG","Terça, das 12h às 23h | Quarta, das 12h às 23h | Quinta, das 12h às 23h | Sexta, das 12h às 23h | Sábado, das 11h30 às 22h | Domingo, das 11h às 18h |",Bola na Rede,3136540414
Cantina Arte Quintal,,"Fraldinha assada flambada na cachaça e cerveja com calda de maracujá, farofa de alho-poró e banana frita curtida ao bacon.","Rua Realengo, 150 | Caiçara, Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 17h às 23h | Sábado, das 14h às 23h | Domingo, das 14h às 23h |",Fraldinha Assada na Cachaça e Cerveja,31999476695
Cantinho da Baiana,,"Tiras de galeto, envoltas em casquinha crocante de queijo parmesão. Acompanhados por creme de bacon crispy.","Avenida Itaité, 422 | São Geraldo, Belo Horizonte – MG","Quarta, das 17h30 às 23h | Quinta, das 17h30 às 23h | Sexta, das 17h30 às 23h | Sábado, das 13h30 às 23h | Domingo, das 13h30 às 22h |",Mineirou nos 25,31997627848
Casa da Madrinha,Loja 7,Polenta crocante com ragu de frango com quiabo e o toque inconfundível do queijo minas.,"Avenida Barbacena, 212 | Barro Preto, Belo Horizonte – MG",Segunda à quarta das 10h às 16h | Quinta à sabado das 10h às 22h |,Bem Mineiro,3130474787
Cervejaria Pajé,,"Amassado de mandioca amarela, temperada e recheada com bacon e queijo, acompanhado de calda de abacaxi ‘smooth Cayenne’ e molho ‘Buffalo’ picante.","Avenida Capim Branco, 419 | Vista Alegre, Belo Horizonte – MG",Segunda-feira: 18:00 – 00:00 | Terça-feira: 18:00 – 00:00 | Quarta-feira: 18:00 – 00:00 | Quinta-feira: 18:00 – 00:00 | Sexta-feira: 18:00 – 01:00 | Domingo: 16:00 – 22:00 | Segunda-feira: 11:00 – 14:30 | Terça-feira: 11:00 – 14:30 | Quarta-feira: 11:00 – 14:30 | Quinta-feira: 11:00 – 14:30 | Sexta-feira: 11:00 – 14:30 | Sábado: 11:00 – 01:00,XUKURU KARIRI,31985946820
Chapa Mágica,,Purê de inhame com bacon.,"Avenida Waldomiro Lobo, 305 | Guarani, Belo Horizonte – MG","Segunda, das 11h à 0h | Terça, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h | Domingo, das 11h à 0h |",Incangado de inhame com bacon dona Biu,(31) 3213-0058(31) 97523-4848
Choperia América Norte Sul,,"Pastel recheado com carne bovina defumada e desfiada, muçarela, palmito, cebola, azeitona, requeijão. Acompanha molho da casa e salada de agrião e tomate.","Rua Chico Rei, 190 | Estrela do Oriente, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 23h |",Tira gosto escondido,31995922703
Chopp da Esquina,,"Bife a rolê, acompanha farofa de torresmo.","Rua Garret, 263 | Nova Granada, Belo Horizonte – MG","Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 12h à 0h | Domingo, das 12h às 20h |",Rolê do Chopp,31971407790
Companhia do Dino,,Barriga frita com geleia de pimenta e mandioca na manteiga de garrafa.,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte – MG","Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 17h à 0h | Domingo, das 17h à 0h |",Barriga do Dino,31993418788
Conectados Bar,,"Cozido de joelho de porco e pernil com especiarias, servido sobre creme de mandioca ao alho, acompanhado de farofa de milho amanteigado e banana-da-terra.","Avenida Francisco Sá, 280 | Prado, Belo Horizonte – MG","Terça, das 17h às 23h30 | Quarta, das 17h às 23h30 | Quinta, das 17h às 23h30 | Sexta, das 17h às 23h30 | Sábado, das 15h às 23h30 | Domingo, das 15h às 22h30 |","Ajoelhou, vai ter que rezar!",(31) 99638-1822(31) 3568-8130
COSMOS,,"Tiras de picanha, alcatra e maminha ao molho de cerveja preta, com batata tipo chips e creme de alho.","Avenida Vicente Risola, 1305 | Santa Inês, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 17h às 23h | Domingo, das 17h às 23h",Meteoro – Explosão de sabores,31991203515
Deck Boi na Brasa,Loja 05 e 06,"Tulipas de frango assadas na brasa, envolvidas em um molho agridoce da casa com um toque de goiabada, servidas com minibatatas rústicas e banana-da-terra mini fritas, regadas ao molho de ervas.","Rua Desembargador José Satyro, 302 | Castelo, Belo Horizonte – MG","Segunda, das 17h às 23h35 | Terça, das 17h às 23h35 | Quarta, das 17h às 23h35 | Quinta, das 17h às 23h35 | Sexta, das 17h às 23h35 | Sábado, das 17h às 23h35 |",Tulipa do Cheff,31971830748
Dona Dora,,"Purê rústico de mandioca com ragu de alcatra, fonduta de queijo canastra e crispy de couve.","Rua Rio de Janeiro, 1205 | Centro, Belo Horizonte – MG","Segunda, das 17h às 23h | Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 17h às 23h |",Boleco (Bolo di Buteco),31992278879
Dona Ju Gastro Bar,Loja 03,"Joelho de porco marinado em especiarias, cozido na cerveja e acompanhado de angu de milho verde e couve passada no azeite. E ambrosia de sobremesa para comemorar os 25 anos do CDB.","Estrada dos Borges, 1520 | Jardim Vitória, Belo Horizonte – MG","Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h | Domingo, das 11h à 0h |",Jú-elhoo,31992534428
Dona Suica,,"Sobrecoxa desossada e assada, polenta de milho verde com bacon e queijo e farofinha com quiabo grelhado.","Rua João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte – MG","Terça, das 18h às 23h30 | Quarta, das 18h às 23h30 | Quinta, das 18h às 23h30 | Sexta, das 18h às 23h30 | Sábado, das 12h às 23h30 | Domingo, das 12h às 23h30 |",Prata da Casa,31992939701
Ember BBQ,,"Cupim defumado em lenha de macieira. Servido sobre angu de milho verde com queijo minas, acompanhado de couve crispy e pimenta jalapeño.","Rua São Romão, 460 | São Pedro, Belo Horizonte – MG","Segunda, das 11h30 às 15h30 | Terça, das 11h30 às 23h30 | Quarta, das 11h30 às 23h30 | Quinta, das 11h30 às 23h30 | Sexta, das 11h30 às 23h30 | Sábado, das 11h30 às 23h30 | Domingo, das 11h30 às 17h30 |",Cupim Sertanejo,313582-9898
Espetinho do Boi,,Almôndega selada no forno com cobertura de queijo ao molho especial.,"Rua Professor Tristão da Cunha, 183 – Planalto, Belo Horizonte – MG","Terça, das 12h às 23h | Quarta, das 12h às 23h | Quinta, das 12h às 23h | Sexta, das 12h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 17h |",Brigadeiro do Boi,31991215352
Espetinhos do Paulão,,"Língua de boi recheada com bacon e cenoura ao molho madeira. Acompanha dois minipães italianos recheados com vinagrete de tomate, cebola temperada com chimichurri de limão e azeite, com muçarela gratinada e manjericão desidratado.","Rua Álvaro Mata, 466 | Nova Cachoeirinha, Belo Horizonte – MG","Terça, das 17h às 23h30 | Quarta, das 17h às 23h30 | Quinta, das 17h às 23h30 | Sexta, das 17h às 23h30 | Sábado, das 14h às 23h30 | Domingo, das 14h às 19h |",Vaca Faladeira,31998509073
Espettinho.com,Lojas 05 e 07,Almôndegas suínas gratinadas com molho de tomate caseiro e muçarela. Acompanha 1 Espetinho de ‘Sacanagem’ e um licor de doce de leite de entrada.,"Rua Eli Seabra Filho, 510 | Buritis, Belo Horizonte – MG","Terça, das 17h às 23h30 | Quarta, das 17h às 23h30 | Quinta, das 17h às 23h30 | Sexta, das 17h às 23h30 | Sábado, das 15h às 23h30 | Domingo, das 15h às 21h30 |",Mineirinho Gratinado 2.5,(34) 99915-7000(31) 99915-2800
Fogão de Minas,,Petisco de tropeiro.,"Avenida Doutor Cristiano Guimarães, 1911 | Planalto, Belo Horizonte – MG","Segunda, das 11h às 15h e das 18h à 0h | Terça, das 11h às 15h e das 18h à 0h | Quarta, das 11h às 15h e das 18h à 0h | Quinta, das 11h às 15h e das 18h à 0h | Sexta, das 11h às 15h e das 18h à 0h | Sábado, das 11h às 16h e das 18h à 0h | Domingo, das 11h às 16h e das 18h à 0h |",Tropa de Elite,3134914152
